Token,Emotions,EmotionCount
drei,"admiration, amusement, anger, annoyance, caring, confusion, curiosity, gratitude, joy, neutral, optimism, sadness",12
federn,"annoyance, caring, curiosity, desire, neutral",5
fürst,"excitement, grief, joy, neutral",4
müde,"admiration, caring, confusion, neutral",4
söhnen,"excitement, neutral",2
hofmeister,"desire, neutral, realization",3
demjenigen,"admiration, neutral",2
söhne,"admiration, approval, desire, joy, neutral, pride",6
teppich,"gratitude, neutral",2
hause,"admiration, approval, caring, disgust, gratitude, joy, neutral, realization, relief, sadness",10
bringt,"amusement, caring, desire, embarrassment, joy, neutral, sadness",7
älteren,"admiration, amusement, anger, neutral",4
gerhard,"approval, neutral",2
gebhard,"approval, neutral",2
fest,"admiration, amusement, anger, annoyance, caring, desire, fear, joy, neutral, realization, sadness, surprise",12
davon,"admiration, amusement, anger, annoyance, caring, confusion, curiosity, excitement, fear, gratitude, joy, love, neutral, optimism, sadness, surprise",16
aufgabe,"admiration, caring, excitement, fear, neutral, realization, sadness",7
zufriedenheit,"caring, neutral",2
vaters,"admiration, fear, neutral, realization, surprise",5
lösen,"disapproval, neutral, sadness",3
bringen,"admiration, amusement, annoyance, approval, curiosity, desire, gratitude, joy, neutral, realization, sadness",11
brüder,"admiration, annoyance, approval, caring, curiosity, embarrassment, grief, joy, love, neutral, sadness",11
suchen,"desire, gratitude, neutral, realization, sadness",5
wirft,"anger, annoyance, neutral",3
geliebten,"caring, desire, neutral, realization",4
luft,"amusement, anger, fear, joy, neutral, realization, sadness",7
westen,"fear, neutral",2
folgen,"approval, gratitude, neutral, optimism",4
gustav,"annoyance, approval, disgust, fear, neutral, realization",6
feder,"desire, neutral, realization",3
wald,"admiration, amusement, anger, annoyance, approval, caring, curiosity, disappointment, disapproval, disgust, embarrassment, fear, gratitude, grief, joy, love, nervousness, neutral, pride, realization, relief, remorse, sadness, surprise",24
kleinen,"admiration, anger, annoyance, disappointment, fear, gratitude, grief, joy, neutral, sadness",10
höhle,"anger, disappointment, disgust, grief, neutral, sadness, surprise",7
begegnet,"admiration, excitement, neutral, sadness",4
sprechenden,"neutral, sadness",2
kröte,"curiosity, fear, gratitude, neutral",4
itsche,"admiration, neutral, sadness",3
zehn,"admiration, curiosity, neutral",3
jahre,"admiration, anger, desire, disappointment, excitement, joy, neutral, realization",8
