Token,Emotions,EmotionCount
kleine,"admiration, amusement, anger, annoyance, approval, caring, curiosity, disappointment, disapproval, disgust, embarrassment, excitement, fear, gratitude, joy, love, nervousness, neutral, pride, sadness",20
große,"admiration, amusement, anger, approval, caring, desire, disappointment, disapproval, disgust, fear, gratitude, joy, neutral, realization, sadness",15
klaus,"admiration, amusement, anger, annoyance, approval, disappointment, embarrassment, fear, gratitude, joy, love, nervousness, neutral, pride, realization, surprise",16
kleinen,"admiration, amusement, anger, annoyance, caring, curiosity, desire, disappointment, disapproval, disgust, embarrassment, fear, gratitude, joy, love, neutral, realization, sadness, surprise",19
dorf,"joy, neutral",2
wohnen,"admiration, disapproval, neutral",3
zwei,"admiration, amusement, annoyance, curiosity, desire, disappointment, disapproval, embarrassment, fear, joy, neutral, optimism, realization, sadness, surprise",15
männer,"admiration, amusement, desire, disappointment, neutral",5
namen,"admiration, annoyance, joy, love, neutral",5
höhe,"admiration, neutral",2
großen,"admiration, amusement, annoyance, approval, curiosity, disgust, excitement, fear, gratitude, joy, neutral, sadness",12
tages,"admiration, desire, disappointment, excitement, joy, neutral, sadness",7
reiche,"admiration, neutral",2
gutsbesitzerstochter,"admiration, neutral",2
dora,"admiration, neutral, realization",3
guter,"admiration, desire, neutral",3
laune,"admiration, annoyance, neutral",3
macht,"admiration, amusement, anger, approval, curiosity, disappointment, joy, love, neutral, realization",10
arme,"amusement, annoyance, disappointment, disgust, fear, grief, joy, neutral, realization, sadness",10
klein,"admiration, neutral, sadness",3
solle,"admiration, desire, neutral",3
vier,"admiration, anger, joy, neutral",4
pferde,"admiration, anger, disgust, love, neutral, pride, sadness",7
schon,"admiration, annoyance, approval, caring, confusion, curiosity, desire, disappointment, fear, joy, love, neutral, optimism, realization, sadness",15
bald,"admiration, approval, curiosity, desire, excitement, fear, grief, love, neutral, optimism, realization",11
arbeit,"admiration, anger, gratitude, love, neutral, sadness",6
fertig,"admiration, anger, neutral",3
woche,"anger, annoyance, neutral, sadness",4
arbeiten,"anger, caring, neutral",3
willigt,"anger, neutral",2
missfällt,"disapproval, neutral",2
nächsten,"admiration, anger, disappointment, embarrassment, excitement, joy, love, neutral, realization",9
tag,"admiration, anger, approval, caring, disappointment, embarrassment, excitement, fear, gratitude, joy, love, neutral",12
überall,"anger, curiosity, disappointment, fear, neutral",5
wären,"admiration, disappointment, love, neutral, realization",5
kurzerhand,"annoyance, neutral",2
nimmt,"approval, fear, joy, love, neutral",5
eigenen,"admiration, neutral, realization",3
mageren,"admiration, neutral",2
klepper,"admiration, neutral",2
schweren,"disappointment, neutral",2
ziehen,"neutral, sadness",2
tier,"admiration, amusement, disappointment, fear, grief, neutral",6
bietet,"admiration, disapproval, neutral",3
pferd,"admiration, annoyance, excitement, neutral, surprise",5
gleich,"approval, embarrassment, neutral, realization",4
erst,"anger, approval, curiosity, excitement, love, neutral, realization, sadness, surprise",9
später,"admiration, curiosity, disappointment, fear, neutral, surprise",6
zurückkommt,"anger, neutral",2
altes,"admiration, neutral, sadness",3
enttäuscht,"disappointment, neutral",2
beutel,"disappointment, neutral",2
hause,"admiration, amusement, anger, approval, disappointment, joy, neutral, realization, sadness, surprise",10
spät,"desire, excitement, neutral, realization",4
geworden,"admiration, annoyance, neutral, realization, sadness",5
müllerin,"neutral, surprise",2
ab,"admiration, anger, annoyance, caring, embarrassment, neutral, sadness",7
angeblich,"admiration, neutral",2
allein,"admiration, amusement, curiosity, disappointment, disapproval, embarrassment, fear, grief, joy, neutral, sadness",11
müller,"admiration, amusement, curiosity, excitement, nervousness, neutral, realization, surprise",8
heimlich,"admiration, annoyance, love, neutral",4
durchs,"neutral, realization",2
fenster,"admiration, amusement, fear, joy, neutral, realization, sadness, surprise",8
sieht,"admiration, amusement, disappointment, disgust, fear, love, neutral, pride, realization, remorse, sadness",11
reich,"admiration, annoyance, approval, curiosity, disappointment, excitement, gratitude, joy, love, neutral, pride, realization, sadness",13
tisch,"disgust, neutral",2
zusammen,"admiration, amusement, grief, joy, neutral",5
liebhaber,"approval, neutral, surprise",3
haus,"anger, annoyance, curiosity, disgust, fear, grief, neutral, realization",8
setzt,"neutral, optimism",2
essen,"admiration, approval, disapproval, joy, nervousness, neutral, sadness, surprise",8
beginnt,"admiration, amusement, anger, excitement, neutral",5
kommt,"admiration, anger, annoyance, approval, caring, curiosity, desire, joy, love, neutral, realization, surprise",12
meint,"approval, love, neutral",3
gast,"admiration, neutral",2
hätte,"admiration, approval, desire, disappointment, disapproval, embarrassment, joy, love, neutral, realization, surprise",11
zauberer,"anger, approval, curiosity, disapproval, embarrassment, gratitude, love, neutral, sadness",9
sack,"admiration, anger, gratitude, neutral",4
sagte,"admiration, amusement, anger, annoyance, approval, caring, confusion, curiosity, desire, disappointment, disapproval, disgust, embarrassment, excitement, fear, gratitude, joy, love, neutral, remorse, sadness, surprise",22
sollen,"desire, neutral",2
lieber,"admiration, disappointment, disgust, embarrassment, love, neutral",6
speisen,"amusement, neutral",2
ofen,"admiration, disgust, neutral, surprise",4
findet,"admiration, caring, love, neutral, realization",5
gebratene,"admiration, neutral",2
gans,"admiration, neutral",2
mal,"admiration, annoyance, approval, caring, fear, joy, neutral, realization",8
