Token,EmotionCount,Emotions
drei,12,"admiration, amusement, anger, annoyance, caring, confusion, curiosity, gratitude, joy, neutral, optimism, sadness"
federn,5,"annoyance, caring, curiosity, desire, neutral"
fürst,4,"excitement, grief, joy, neutral"
müde,4,"admiration, caring, confusion, neutral"
söhnen,2,"excitement, neutral"
hofmeister,3,"desire, neutral, realization"
demjenigen,2,"admiration, neutral"
söhne,6,"admiration, approval, desire, joy, neutral, pride"
teppich,2,"gratitude, neutral"
hause,10,"admiration, approval, caring, disgust, gratitude, joy, neutral, realization, relief, sadness"
bringt,7,"amusement, caring, desire, embarrassment, joy, neutral, sadness"
älteren,4,"admiration, amusement, anger, neutral"
gerhard,2,"approval, neutral"
gebhard,2,"approval, neutral"
fest,12,"admiration, amusement, anger, annoyance, caring, desire, fear, joy, neutral, realization, sadness, surprise"
davon,16,"admiration, amusement, anger, annoyance, caring, confusion, curiosity, excitement, fear, gratitude, joy, love, neutral, optimism, sadness, surprise"
aufgabe,7,"admiration, caring, excitement, fear, neutral, realization, sadness"
zufriedenheit,2,"caring, neutral"
vaters,5,"admiration, fear, neutral, realization, surprise"
lösen,3,"disapproval, neutral, sadness"
bringen,11,"admiration, amusement, annoyance, approval, curiosity, desire, gratitude, joy, neutral, realization, sadness"
brüder,11,"admiration, annoyance, approval, caring, curiosity, embarrassment, grief, joy, love, neutral, sadness"
suchen,5,"desire, gratitude, neutral, realization, sadness"
wirft,3,"anger, annoyance, neutral"
geliebten,4,"caring, desire, neutral, realization"
luft,7,"amusement, anger, fear, joy, neutral, realization, sadness"
westen,2,"fear, neutral"
folgen,4,"approval, gratitude, neutral, optimism"
gustav,6,"annoyance, approval, disgust, fear, neutral, realization"
feder,3,"desire, neutral, realization"
wald,24,"admiration, amusement, anger, annoyance, approval, caring, curiosity, disappointment, disapproval, disgust, embarrassment, fear, gratitude, grief, joy, love, nervousness, neutral, pride, realization, relief, remorse, sadness, surprise"
kleinen,10,"admiration, anger, annoyance, disappointment, fear, gratitude, grief, joy, neutral, sadness"
höhle,7,"anger, disappointment, disgust, grief, neutral, sadness, surprise"
begegnet,4,"admiration, excitement, neutral, sadness"
sprechenden,2,"neutral, sadness"
kröte,4,"curiosity, fear, gratitude, neutral"
itsche,3,"admiration, neutral, sadness"
zehn,3,"admiration, curiosity, neutral"
jahre,8,"admiration, anger, desire, disappointment, excitement, joy, neutral, realization"
zuvor,6,"admiration, annoyance, excitement, grief, neutral, realization"
gerettet,4,"gratitude, neutral, realization, relief"
spricht,5,"admiration, annoyance, gratitude, neutral, surprise"
wunsch,9,"admiration, annoyance, desire, disappointment, gratitude, joy, neutral, realization, sadness"
schönsten,2,"admiration, neutral"
öffnet,2,"love, neutral"
vater,25,"admiration, amusement, anger, annoyance, approval, caring, confusion, curiosity, desire, disappointment, disapproval, disgust, embarrassment, fear, gratitude, grief, joy, love, neutral, optimism, pride, realization, relief, sadness, surprise"
währenddessen,4,"joy, neutral, realization, sadness"
seite,6,"amusement, embarrassment, joy, love, neutral, surprise"
waldes,5,"admiration, disgust, embarrassment, fear, neutral"
getroffen,2,"neutral, sadness"
gemeinsam,5,"approval, gratitude, joy, neutral, sadness"
wirtshaus,4,"approval, fear, joy, neutral"
nahe,4,"admiration, excitement, neutral, realization"
gelegenen,2,"excitement, neutral"
vergnügen,2,"neutral, realization"
bruder,9,"anger, disappointment, embarrassment, fear, love, neutral, optimism, realization, sadness"
schönen,6,"admiration, curiosity, gratitude, joy, neutral, remorse"
findet,6,"admiration, annoyance, joy, neutral, realization, sadness"
pakt,2,"anger, neutral"
leben,18,"admiration, amusement, anger, annoyance, approval, caring, curiosity, desire, disappointment, disgust, fear, gratitude, grief, joy, love, neutral, realization, sadness"
untertanin,2,"love, neutral"
alten,13,"admiration, amusement, anger, annoyance, caring, curiosity, disappointment, fear, joy, love, neutral, realization, sadness"
roten,4,"admiration, nervousness, neutral, surprise"
geschenk,8,"admiration, desire, disappointment, gratitude, joy, neutral, realization, sadness"
gustavs,3,"gratitude, joy, neutral"
kurz,7,"admiration, excitement, fear, grief, love, neutral, realization"
nacheinander,2,"disappointment, neutral"
bekommt,9,"approval, disappointment, excitement, fear, gratitude, grief, nervousness, neutral, surprise"
rät,2,"disapproval, neutral"
allein,11,"admiration, amusement, anger, annoyance, curiosity, desire, grief, love, nervousness, neutral, sadness"
entscheidung,3,"admiration, annoyance, neutral"
diesmal,7,"admiration, anger, disgust, joy, love, neutral, sadness"
sollen,4,"caring, fear, neutral, sadness"
ring,11,"admiration, approval, disgust, gratitude, joy, neutral, optimism, realization, remorse, sadness, surprise"
wege,4,"approval, caring, joy, neutral"
weisen,4,"admiration, annoyance, caring, neutral"
erneut,6,"admiration, amusement, anger, approval, neutral, sadness"
denen,3,"disapproval, excitement, neutral"
zwei,12,"admiration, annoyance, caring, curiosity, disgust, embarrassment, fear, gratitude, neutral, pride, realization, sadness"
zusammen,8,"admiration, approval, caring, disappointment, joy, love, neutral, sadness"
führen,3,"fear, neutral, surprise"
besorgt,2,"caring, neutral"
mann,18,"admiration, annoyance, approval, confusion, curiosity, desire, disappointment, disgust, fear, grief, joy, love, neutral, realization, relief, remorse, sadness, surprise"
pfeife,2,"annoyance, neutral"
trifft,5,"admiration, approval, fear, neutral, surprise"
fluss,8,"anger, approval, curiosity, disgust, joy, neutral, optimism, pride"
mädchen,20,"admiration, amusement, anger, approval, caring, desire, disappointment, disapproval, disgust, embarrassment, excitement, fear, gratitude, grief, joy, love, neutral, realization, sadness, surprise"
kleid,12,"admiration, amusement, annoyance, caring, curiosity, disgust, gratitude, love, neutral, realization, sadness, surprise"
trägt,5,"admiration, gratitude, neutral, realization, sadness"
sitzt,8,"admiration, curiosity, disapproval, gratitude, joy, love, neutral, sadness"
beiden,13,"admiration, amusement, anger, annoyance, confusion, disappointment, disgust, fear, joy, love, neutral, realization, sadness"
beginnen,4,"approval, excitement, neutral, realization"
stellt,4,"annoyance, fear, neutral, surprise"
heraus,11,"admiration, anger, annoyance, caring, fear, joy, love, neutral, realization, relief, sadness"
damals,3,"fear, neutral, sadness"
lassen,8,"admiration, anger, annoyance, caring, disgust, fear, love, neutral"
blonde,3,"desire, love, neutral"
verhindert,2,"neutral, realization"
koch,4,"admiration, annoyance, neutral, realization"
schlachten,2,"neutral, sadness"
wächter,2,"gratitude, neutral"
fürsten,3,"joy, neutral, realization"
dennoch,4,"annoyance, joy, neutral, sadness"
möchte,7,"admiration, caring, desire, disappointment, disapproval, fear, neutral"
